Feature-Set;NSHAP-Value
mnth,holiday,weathersit,hum,windspeed;0.0046
mnth,holiday,temp,atemp,hum;0.1044
mnth,holiday,temp,atemp,windspeed;-0.1237
mnth,holiday,temp,hum,windspeed;-0.0279
mnth,holiday,atemp,hum,windspeed;0.0673
mnth,weekday,workingday,weathersit,temp;0.2252
mnth,weekday,workingday,weathersit,atemp;0.4695
mnth,weekday,workingday,weathersit,hum;-0.0048
mnth,weekday,workingday,weathersit,windspeed;0.2079
mnth,weekday,workingday,temp,atemp;-3.1823
mnth,weekday,workingday,temp,hum;-1.4075
mnth,weekday,workingday,temp,windspeed;2.7173
mnth,weekday,workingday,atemp,hum;-2.1551
mnth,weekday,workingday,atemp,windspeed;0.7231
mnth,weekday,workingday,hum,windspeed;-0.5057
mnth,weekday,weathersit,temp,atemp;0.2942
mnth,weekday,weathersit,temp,hum;0.5781
mnth,weekday,weathersit,temp,windspeed;0.1134
mnth,weekday,weathersit,atemp,hum;1.5272
mnth,weekday,weathersit,atemp,windspeed;1.1078
mnth,weekday,weathersit,hum,windspeed;-0.7579
mnth,weekday,temp,atemp,hum;14.5008
mnth,weekday,temp,atemp,windspeed;-8.0656
mnth,weekday,temp,hum,windspeed;3.4437
mnth,weekday,atemp,hum,windspeed;2.3856
mnth,workingday,weathersit,temp,atemp;-0.0074
mnth,workingday,weathersit,temp,hum;-0.6282
mnth,workingday,weathersit,temp,windspeed;-0.8543
mnth,workingday,weathersit,atemp,hum;0.9769
mnth,workingday,weathersit,atemp,windspeed;-0.5529
mnth,workingday,weathersit,hum,windspeed;-0.3378
mnth,workingday,temp,atemp,hum;0.9556
mnth,workingday,temp,atemp,windspeed;-2.2033
mnth,workingday,temp,hum,windspeed;1.2119
mnth,workingday,atemp,hum,windspeed;0.3146
mnth,weathersit,temp,atemp,hum;1.2170
mnth,weathersit,temp,atemp,windspeed;0.0618
mnth,weathersit,temp,hum,windspeed;-1.2214
mnth,weathersit,atemp,hum,windspeed;-1.5562
mnth,temp,atemp,hum,windspeed;-15.2761
holiday,weekday,workingday,weathersit,temp;0.0000
holiday,weekday,workingday,weathersit,atemp;0.0000
holiday,weekday,workingday,weathersit,hum;0.0000
holiday,weekday,workingday,weathersit,windspeed;0.0000
holiday,weekday,workingday,temp,atemp;0.0000
holiday,weekday,workingday,temp,hum;0.0000
holiday,weekday,workingday,temp,windspeed;-0.0000
holiday,weekday,workingday,atemp,hum;-0.0000
holiday,weekday,workingday,atemp,windspeed;-0.0000
holiday,weekday,workingday,hum,windspeed;-0.0000
holiday,weekday,weathersit,temp,atemp;0.0153
holiday,weekday,weathersit,temp,hum;0.0084
holiday,weekday,weathersit,temp,windspeed;0.0133
holiday,weekday,weathersit,atemp,hum;-0.0123
holiday,weekday,weathersit,atemp,windspeed;-0.0048
holiday,weekday,weathersit,hum,windspeed;0.0025
holiday,weekday,temp,atemp,hum;0.3735
holiday,weekday,temp,atemp,windspeed;-0.1394
holiday,weekday,temp,hum,windspeed;0.2817
holiday,weekday,atemp,hum,windspeed;-0.0919
holiday,workingday,weathersit,temp,atemp;0.0000
holiday,workingday,weathersit,temp,hum;0.0000
holiday,workingday,weathersit,temp,windspeed;-0.0000
holiday,workingday,weathersit,atemp,hum;0.0000
holiday,workingday,weathersit,atemp,windspeed;-0.0000
holiday,workingday,weathersit,hum,windspeed;0.0000
holiday,workingday,temp,atemp,hum;0.0000
holiday,workingday,temp,atemp,windspeed;-0.0000
