Feature-Set;NSHAP-Value
hyperlipidemia,asthma,copd;-0.0005
hyperlipidemia,asthma,dementia;0.0000
hyperlipidemia,asthma,cancer;0.0000
hyperlipidemia,copd,dementia;0.0000
hyperlipidemia,copd,cancer;0.0007
hyperlipidemia,dementia,cancer;-0.0002
diabetes,coronary.artery.disease,chf;-0.0061
diabetes,coronary.artery.disease,cerebrovascular.disease;-0.0001
diabetes,coronary.artery.disease,hepatitis;-0.0000
diabetes,coronary.artery.disease,endstage.renal.disease;0.0007
diabetes,coronary.artery.disease,chronic.kidney.disease;0.0007
diabetes,coronary.artery.disease,asthma;0.0008
diabetes,coronary.artery.disease,copd;-0.0012
diabetes,coronary.artery.disease,dementia;-0.0021
diabetes,coronary.artery.disease,cancer;-0.0020
diabetes,chf,cerebrovascular.disease;-0.0003
diabetes,chf,hepatitis;-0.0000
diabetes,chf,endstage.renal.disease;0.0006
diabetes,chf,chronic.kidney.disease;0.0003
diabetes,chf,asthma;0.0003
diabetes,chf,copd;-0.0001
diabetes,chf,dementia;0.0003
diabetes,chf,cancer;-0.0008
diabetes,cerebrovascular.disease,hepatitis;-0.0001
diabetes,cerebrovascular.disease,endstage.renal.disease;-0.0001
diabetes,cerebrovascular.disease,chronic.kidney.disease;0.0001
diabetes,cerebrovascular.disease,asthma;-0.0001
diabetes,cerebrovascular.disease,copd;-0.0002
diabetes,cerebrovascular.disease,dementia;0.0003
diabetes,cerebrovascular.disease,cancer;-0.0001
diabetes,hepatitis,endstage.renal.disease;0.0003
diabetes,hepatitis,chronic.kidney.disease;-0.0001
diabetes,hepatitis,asthma;-0.0000
diabetes,hepatitis,copd;-0.0000
diabetes,hepatitis,dementia;-0.0000
diabetes,hepatitis,cancer;-0.0001
diabetes,endstage.renal.disease,chronic.kidney.disease;-0.0001
diabetes,endstage.renal.disease,asthma;0.0000
diabetes,endstage.renal.disease,copd;-0.0000
diabetes,endstage.renal.disease,dementia;0.0000
diabetes,endstage.renal.disease,cancer;-0.0000
diabetes,chronic.kidney.disease,asthma;-0.0000
diabetes,chronic.kidney.disease,copd;-0.0001
diabetes,chronic.kidney.disease,dementia;0.0002
